,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81
qubHoleOffset,1.5049999999999999mm,1.5049999999999999mm,1.5049999999999999mm,1.5049999999999999mm,1.5049999999999999mm,1.5049999999999999mm,1.5049999999999999mm,1.5049999999999999mm,1.5049999999999999mm,1.5049999999999999mm,1.5049999999999999mm,1.5049999999999999mm,1.5049999999999999mm,1.5049999999999999mm,1.5049999999999999mm,1.5049999999999999mm,1.5049999999999999mm,1.5049999999999999mm,1.5049999999999999mm,1.5049999999999999mm,1.5049999999999999mm,1.5049999999999999mm,1.5049999999999999mm,1.5049999999999999mm,1.5049999999999999mm,1.5049999999999999mm,1.5049999999999999mm,1.5049999999999999mm,1.5049999999999999mm,1.5049999999999999mm,1.5049999999999999mm,1.5049999999999999mm,1.5049999999999999mm,1.5049999999999999mm,1.5049999999999999mm,1.5049999999999999mm,1.5049999999999999mm,1.5049999999999999mm,1.5049999999999999mm,1.5049999999999999mm,1.5049999999999999mm,1.5049999999999999mm,1.5049999999999999mm,1.5049999999999999mm,1.5049999999999999mm,1.5049999999999999mm,1.5049999999999999mm,1.5049999999999999mm,1.5049999999999999mm,1.5049999999999999mm,1.5049999999999999mm,1.5049999999999999mm,1.5049999999999999mm,1.5049999999999999mm,1.5049999999999999mm,1.5049999999999999mm,1.5049999999999999mm,1.5049999999999999mm,1.5049999999999999mm,1.5049999999999999mm,1.5049999999999999mm,1.5049999999999999mm,1.5049999999999999mm,1.5049999999999999mm,1.5049999999999999mm,1.5049999999999999mm,1.5049999999999999mm,1.5049999999999999mm,1.5049999999999999mm,1.5049999999999999mm,1.5049999999999999mm,1.5049999999999999mm,1.5049999999999999mm,1.5049999999999999mm,1.5049999999999999mm,1.5049999999999999mm,1.5049999999999999mm,1.5049999999999999mm,1.5049999999999999mm,1.5049999999999999mm,1.5049999999999999mm,1.5049999999999999mm
qubitCentDist,-5.6299999999999999mm,-5.6299999999999999mm,-5.6299999999999999mm,-5.6299999999999999mm,-5.6299999999999999mm,-5.6299999999999999mm,-5.6299999999999999mm,-5.6299999999999999mm,-5.6299999999999999mm,-5.6299999999999999mm,-5.6299999999999999mm,-5.6299999999999999mm,-5.6299999999999999mm,-5.6299999999999999mm,-5.6299999999999999mm,-5.6299999999999999mm,-5.6299999999999999mm,-5.6299999999999999mm,-5.6299999999999999mm,-5.6299999999999999mm,-5.6299999999999999mm,-5.6299999999999999mm,-5.6299999999999999mm,-5.6299999999999999mm,-5.6299999999999999mm,-5.6299999999999999mm,-5.6299999999999999mm,-5.6299999999999999mm,-5.6299999999999999mm,-5.6299999999999999mm,-5.6299999999999999mm,-5.6299999999999999mm,-5.6299999999999999mm,-5.6299999999999999mm,-5.6299999999999999mm,-5.6299999999999999mm,-5.6299999999999999mm,-5.6299999999999999mm,-5.6299999999999999mm,-5.6299999999999999mm,-5.6299999999999999mm,-5.6299999999999999mm,-5.6299999999999999mm,-5.6299999999999999mm,-5.6299999999999999mm,-5.6299999999999999mm,-5.6299999999999999mm,-5.6299999999999999mm,-5.6299999999999999mm,-5.6299999999999999mm,-5.6299999999999999mm,-5.6299999999999999mm,-5.6299999999999999mm,-5.6299999999999999mm,-5.6299999999999999mm,-5.6299999999999999mm,-5.6299999999999999mm,-5.6299999999999999mm,-5.6299999999999999mm,-5.6299999999999999mm,-5.6299999999999999mm,-5.6299999999999999mm,-5.6299999999999999mm,-5.6299999999999999mm,-5.6299999999999999mm,-5.6299999999999999mm,-5.6299999999999999mm,-5.6299999999999999mm,-5.6299999999999999mm,-5.6299999999999999mm,-5.6299999999999999mm,-5.6299999999999999mm,-5.6299999999999999mm,-5.6299999999999999mm,-5.6299999999999999mm,-5.6299999999999999mm,-5.6299999999999999mm,-5.6299999999999999mm,-5.6299999999999999mm,-5.6299999999999999mm,-5.6299999999999999mm,-5.6299999999999999mm
qubitHole,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm
qubSapThick,0.5mm,0.5mm,0.5mm,0.5mm,0.5mm,0.5mm,0.5mm,0.5mm,0.5mm,0.5mm,0.5mm,0.5mm,0.5mm,0.5mm,0.5mm,0.5mm,0.5mm,0.5mm,0.5mm,0.5mm,0.5mm,0.5mm,0.5mm,0.5mm,0.5mm,0.5mm,0.5mm,0.5mm,0.5mm,0.5mm,0.5mm,0.5mm,0.5mm,0.5mm,0.5mm,0.5mm,0.5mm,0.5mm,0.5mm,0.5mm,0.5mm,0.5mm,0.5mm,0.5mm,0.5mm,0.5mm,0.5mm,0.5mm,0.5mm,0.5mm,0.5mm,0.5mm,0.5mm,0.5mm,0.5mm,0.5mm,0.5mm,0.5mm,0.5mm,0.5mm,0.5mm,0.5mm,0.5mm,0.5mm,0.5mm,0.5mm,0.5mm,0.5mm,0.5mm,0.5mm,0.5mm,0.5mm,0.5mm,0.5mm,0.5mm,0.5mm,0.5mm,0.5mm,0.5mm,0.5mm,0.5mm,0.5mm
qubSapZ,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm
RO_elevated,5.6500000000000004mm,5.6500000000000004mm,5.6500000000000004mm,5.6500000000000004mm,5.6500000000000004mm,5.6500000000000004mm,5.6500000000000004mm,5.6500000000000004mm,5.6500000000000004mm,5.6500000000000004mm,5.6500000000000004mm,5.6500000000000004mm,5.6500000000000004mm,5.6500000000000004mm,5.6500000000000004mm,5.6500000000000004mm,5.6500000000000004mm,5.6500000000000004mm,5.6500000000000004mm,5.6500000000000004mm,5.6500000000000004mm,5.6500000000000004mm,5.6500000000000004mm,5.6500000000000004mm,5.6500000000000004mm,5.6500000000000004mm,5.6500000000000004mm,5.6500000000000004mm,5.6500000000000004mm,5.6500000000000004mm,5.6500000000000004mm,5.6500000000000004mm,5.6500000000000004mm,5.6500000000000004mm,5.6500000000000004mm,5.6500000000000004mm,2.3499999999999996mm,2.3499999999999996mm,2.3499999999999996mm,2.3499999999999996mm,2.3499999999999996mm,2.3499999999999996mm,2.3499999999999996mm,2.3499999999999996mm,2.3499999999999996mm,2.3499999999999996mm,2.3499999999999996mm,2.3499999999999996mm,2.3499999999999996mm,2.3499999999999996mm,2.3499999999999996mm,2.3499999999999996mm,2.3499999999999996mm,2.3499999999999996mm,2.3499999999999996mm,2.3499999999999996mm,2.3499999999999996mm,2.3499999999999996mm,2.3499999999999996mm,2.3499999999999996mm,2.3499999999999996mm,2.3499999999999996mm,2.3499999999999996mm,2.3499999999999996mm,2.3499999999999996mm,2.3499999999999996mm,2.3499999999999996mm,2.3499999999999996mm,2.3499999999999996mm,2.3499999999999996mm,2.3499999999999996mm,2.3499999999999996mm,2.3499999999999996mm,2.3499999999999996mm,2.3499999999999996mm,2.3499999999999996mm,2.3499999999999996mm,2.3499999999999996mm,2.3499999999999996mm,2.3499999999999996mm,2.3499999999999996mm,2.3499999999999996mm
rodOffset,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm
rodRad,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm
ROpin2Len,5.5mm,5.75mm,6mm,6.25mm,6.5mm,6.75mm,7mm,7.25mm,7.5mm,7.75mm,8mm,8.25mm,8.5mm,8.75mm,9mm,9.25mm,9.5mm,9.75mm,10mm,10.25mm,10.5mm,10.75mm,11mm,11.25mm,11.5mm,11.75mm,12mm,1mm,2mm,3mm,4mm,4.25mm,4.5mm,4.75mm,5mm,5.25mm,10.880000000000001mm,10.880000000000001mm,10.880000000000001mm,10.880000000000001mm,10.880000000000001mm,10.880000000000001mm,10.880000000000001mm,10.880000000000001mm,10.880000000000001mm,10.880000000000001mm,10.880000000000001mm,10.880000000000001mm,10.880000000000001mm,10.880000000000001mm,10.880000000000001mm,10.880000000000001mm,10.880000000000001mm,10.880000000000001mm,10.880000000000001mm,10.880000000000001mm,10.880000000000001mm,10.880000000000001mm,10.880000000000001mm,10.880000000000001mm,10.880000000000001mm,10.880000000000001mm,10.880000000000001mm,10.880000000000001mm,10.880000000000001mm,10.880000000000001mm,10.880000000000001mm,10.880000000000001mm,10.880000000000001mm,10.880000000000001mm,10.880000000000001mm,10.880000000000001mm,10.880000000000001mm,10.880000000000001mm,10.880000000000001mm,10.880000000000001mm,10.880000000000001mm,1mm,1mm,1mm,1mm,1mm
smallfingerheight,0.0001mm,0.0001mm,0.0001mm,0.0001mm,0.0001mm,0.0001mm,0.0001mm,0.0001mm,0.0001mm,0.0001mm,0.0001mm,0.0001mm,0.0001mm,0.0001mm,0.0001mm,0.0001mm,0.0001mm,0.0001mm,0.0001mm,0.0001mm,0.0001mm,0.0001mm,0.0001mm,0.0001mm,0.0001mm,0.0001mm,0.0001mm,0.0001mm,0.0001mm,0.0001mm,0.0001mm,0.0001mm,0.0001mm,0.0001mm,0.0001mm,0.0001mm,0.0001mm,0.0001mm,0.0001mm,0.0001mm,0.0001mm,0.0001mm,0.0001mm,0.0001mm,0.0001mm,0.0001mm,0.0001mm,0.0001mm,0.0001mm,0.0001mm,0.0001mm,0.0001mm,0.0001mm,0.0001mm,0.0001mm,0.0001mm,0.0001mm,0.0001mm,0.0001mm,0.0001mm,0.0001mm,0.0001mm,0.0001mm,0.0001mm,0.0001mm,0.0001mm,0.0001mm,0.0001mm,0.0001mm,0.0001mm,0.0001mm,0.0001mm,0.0001mm,0.0001mm,0.0001mm,0.0001mm,0.0001mm,0.0001mm,0.0001mm,0.0001mm,0.0001mm,0.0001mm
smallfingerlen,0.0024499999999999999mm,0.0024499999999999999mm,0.0024499999999999999mm,0.0024499999999999999mm,0.0024499999999999999mm,0.0024499999999999999mm,0.0024499999999999999mm,0.0024499999999999999mm,0.0024499999999999999mm,0.0024499999999999999mm,0.0024499999999999999mm,0.0024499999999999999mm,0.0024499999999999999mm,0.0024499999999999999mm,0.0024499999999999999mm,0.0024499999999999999mm,0.0024499999999999999mm,0.0024499999999999999mm,0.0024499999999999999mm,0.0024499999999999999mm,0.0024499999999999999mm,0.0024499999999999999mm,0.0024499999999999999mm,0.0024499999999999999mm,0.0024499999999999999mm,0.0024499999999999999mm,0.0024499999999999999mm,0.0024499999999999999mm,0.0024499999999999999mm,0.0024499999999999999mm,0.0024499999999999999mm,0.0024499999999999999mm,0.0024499999999999999mm,0.0024499999999999999mm,0.0024499999999999999mm,0.0024499999999999999mm,0.0024499999999999999mm,0.0024499999999999999mm,0.0024499999999999999mm,0.0024499999999999999mm,0.0024499999999999999mm,0.0024499999999999999mm,0.0024499999999999999mm,0.0024499999999999999mm,0.0024499999999999999mm,0.0024499999999999999mm,0.0024499999999999999mm,0.0024499999999999999mm,0.0024499999999999999mm,0.0024499999999999999mm,0.0024499999999999999mm,0.0024499999999999999mm,0.0024499999999999999mm,0.0024499999999999999mm,0.0024499999999999999mm,0.0024499999999999999mm,0.0024499999999999999mm,0.0024499999999999999mm,0.0024499999999999999mm,0.0024499999999999999mm,0.0024499999999999999mm,0.0024499999999999999mm,0.0024499999999999999mm,0.0024499999999999999mm,0.0024499999999999999mm,0.0024499999999999999mm,0.0024499999999999999mm,0.0024499999999999999mm,0.0024499999999999999mm,0.0024499999999999999mm,0.0024499999999999999mm,0.0024499999999999999mm,0.0024499999999999999mm,0.0024499999999999999mm,0.0024499999999999999mm,0.0024499999999999999mm,0.0024499999999999999mm,0.0024499999999999999mm,0.0024499999999999999mm,0.0024499999999999999mm,0.0024499999999999999mm,0.0024499999999999999mm
SMAPinRadius,0.63500000000000001mm,0.63500000000000001mm,0.63500000000000001mm,0.63500000000000001mm,0.63500000000000001mm,0.63500000000000001mm,0.63500000000000001mm,0.63500000000000001mm,0.63500000000000001mm,0.63500000000000001mm,0.63500000000000001mm,0.63500000000000001mm,0.63500000000000001mm,0.63500000000000001mm,0.63500000000000001mm,0.63500000000000001mm,0.63500000000000001mm,0.63500000000000001mm,0.63500000000000001mm,0.63500000000000001mm,0.63500000000000001mm,0.63500000000000001mm,0.63500000000000001mm,0.63500000000000001mm,0.63500000000000001mm,0.63500000000000001mm,0.63500000000000001mm,0.63500000000000001mm,0.63500000000000001mm,0.63500000000000001mm,0.63500000000000001mm,0.63500000000000001mm,0.63500000000000001mm,0.63500000000000001mm,0.63500000000000001mm,0.63500000000000001mm,0.63500000000000001mm,0.63500000000000001mm,0.63500000000000001mm,0.63500000000000001mm,0.63500000000000001mm,0.63500000000000001mm,0.63500000000000001mm,0.63500000000000001mm,0.63500000000000001mm,0.63500000000000001mm,0.63500000000000001mm,0.63500000000000001mm,0.63500000000000001mm,0.63500000000000001mm,0.63500000000000001mm,0.63500000000000001mm,0.63500000000000001mm,0.63500000000000001mm,0.63500000000000001mm,0.63500000000000001mm,0.63500000000000001mm,0.63500000000000001mm,0.63500000000000001mm,0.63500000000000001mm,0.63500000000000001mm,0.63500000000000001mm,0.63500000000000001mm,0.63500000000000001mm,0.63500000000000001mm,0.63500000000000001mm,0.63500000000000001mm,0.63500000000000001mm,0.63500000000000001mm,0.63500000000000001mm,0.63500000000000001mm,0.63500000000000001mm,0.63500000000000001mm,0.63500000000000001mm,0.63500000000000001mm,0.63500000000000001mm,0.63500000000000001mm,0.63500000000000001mm,0.63500000000000001mm,0.63500000000000001mm,0.63500000000000001mm,0.63500000000000001mm
